Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fancy Pants Parmy - Classic,18,$441.44,$40.07,$145.90,5%,9%,67%
Stone & Wood - Schooner,17,$222.31,$20.18,$55.42,5%,5%,75%
Guinness Draught - Pint,13,$228.07,$20.72,$61.78,4%,5%,73%
Kuku Sauvignon Blanc - Regular,10,$137.66,$12.49,$29.15,3%,3%,79%
Stow Schnitty,10,$214.81,$19.53,$53.26,3%,4%,75%
Kirin - Schooner,9,$126.92,$11.52,$33.86,3%,3%,73%
Fresh is Best Lager - Schooner,8,$51.37,$4.66,$14.59,2%,1%,72%
Grifter Pale - Pint,8,$120.49,$10.92,$26.64,2%,2%,78%
Rosemary Salted Fries,7,$12.90,$1.17,$12.99,2%,0%,-1%
Mulled Wine,7,$106.48,$9.65,$14.24,2%,2%,87%
American Standard Burger,7,$193.64,$17.64,$40.91,2%,4%,79%
Fresh is Best Lager - Pint,7,$82.75,$7.55,$17.12,2%,2%,79%
Version Two Pinot Grigio - Regular,6,$67.00,$6.09,$10.60,2%,1%,84%
Side Blue Cheese Dip,5,$5.09,$0.45,$0.00,1%,0%,0%
Villa Fresco Sangiovese - Regular,5,$52.60,$4.78,$12.06,1%,1%,77%
Version Two Pinot Grigio - Large,5,$96.24,$8.76,$14.72,1%,2%,85%
Swap Fries for Sweet Potato Fries,5,$10.28,$0.94,$0.00,1%,0%,0%
Side Tomato Sauce,5,$0.00,$0.00,$0.00,1%,0%,0%
Petits Detours Rosé - Regular,5,$82.13,$7.44,$17.33,1%,2%,79%
Jalapeño Marg,5,$115.00,$10.45,$4.05,1%,2%,96%
Ottelia Cab Sav - Regular,4,$68.00,$6.20,$18.43,1%,1%,73%
Baked Camembert,4,$0.00,$0.00,$0.00,1%,0%,0%
Regular Little Italy [Dine-in],4,$26.85,$2.44,$19.22,1%,1%,28%
Chicken Burrito,4,$117.50,$10.70,$27.19,1%,2%,77%
Philter XPA - Pint,4,$60.00,$5.44,$12.00,1%,1%,80%
Side BBQ Sauce,3,$0.00,$0.00,$0.00,1%,0%,0%
Aperol Spritz,3,$48.92,$4.44,$10.66,1%,1%,78%
Send Kids Food ASAP,3,$0.00,$0.00,$0.00,1%,0%,0%
Peroni,3,$32.52,$2.94,$7.68,1%,1%,76%
Ottelia Chardonnay - Regular,3,$46.40,$4.20,$10.38,1%,1%,78%
Regular Jimmy Jury [Dine-in],3,$0.00,$0.00,$10.01,1%,0%,
Status Quo - Schooner,3,$40.50,$3.69,$9.31,1%,1%,77%
Katsu Curry,3,$81.00,$7.35,$0.00,1%,2%,0%
Beef Cheek,3,$121.00,$11.00,$0.00,1%,2%,0%
Kirin - Pint,3,$55.50,$5.04,$15.14,1%,1%,73%
BBQ Wings,3,$0.00,$0.00,$9.42,1%,0%,
Buffalo Wings,3,$0.00,$0.00,$11.71,1%,0%,
Grifter Pale - Schooner,3,$30.00,$2.73,$7.45,1%,1%,75%
White Light Pure Vodka [House],2,$20.90,$1.90,$3.04,1%,0%,85%
Glass of Ice on the Side,2,$0.00,$0.00,$0.00,1%,0%,0%
No Mayo,2,$0.00,$0.00,$0.00,1%,0%,0%
Rocket Man,2,$36.00,$3.28,$6.39,1%,1%,82%
Fish Tacos,2,$20.00,$1.82,$4.37,1%,0%,78%
Unico Zelo Terra Cotta - Regular,2,$39.24,$3.58,$8.76,1%,1%,78%
Eggplant Schnitty,2,$42.69,$3.88,$8.53,1%,1%,80%
Regular Sanchez [Dine-in],2,$52.00,$4.72,$6.79,1%,1%,87%
Classic Margarita,2,$41.31,$3.76,$7.78,1%,1%,81%
Arancini Balls [5pc],2,$45.24,$4.12,$0.00,1%,1%,0%
Delivery Fee - Freshwater / Queenscliff,2,$10.00,$0.90,$0.00,1%,0%,0%
Fish Burrito,2,$57.80,$5.26,$11.34,1%,1%,80%
Kuku Sauvignon Blanc - Large,2,$46.00,$4.18,$9.72,1%,1%,79%
BBQ Ribs,2,$90.88,$8.26,$0.00,1%,2%,0%
Online Surcharge,2,$1.85,$0.00,$0.00,1%,0%,0%
Side Aioli,2,$1.02,$0.11,$0.00,1%,0%,0%
Sigurd GSM Red Blend - Regular,2,$40.00,$3.64,$9.24,1%,1%,77%
Crankshaft IPA - Pint,2,$35.00,$3.18,$8.60,1%,1%,75%
Kids Nuggets & Chips,2,$26.43,$2.40,$4.49,1%,1%,83%
Beef Burrito D,2,$50.00,$4.55,$13.54,1%,1%,73%
Coke Zero 1.25L,2,$12.00,$1.10,$6.58,1%,0%,45%
Mojito,2,$42.00,$3.82,$3.74,1%,1%,91%
Farmhouse Salad,2,$49.80,$4.52,$0.00,1%,1%,0%
Bombay Dry [House],2,$22.00,$2.00,$4.34,1%,0%,80%
No Cheese (Make It Dairy-Free),2,$0.00,$0.00,$0.00,1%,0%,0%
Regular El Patron [Dine-in],1,$26.00,$2.36,$3.64,0%,1%,86%
Fresh Lime Soda,1,$3.61,$0.33,$0.00,0%,0%,0%
BBQ Wings D,1,$16.00,$1.45,$3.14,0%,0%,80%
Side Guac,1,$1.03,$0.09,$0.00,0%,0%,0%
Onion Rings,1,$12.00,$1.09,$0.00,0%,0%,0%
Regular Uber Margherita [Dine-in],1,$23.00,$2.09,$3.19,0%,0%,86%
Large New Yorker,1,$27.00,$2.45,$5.01,0%,1%,81%
Cauliflower Burrito,1,$29.85,$2.72,$5.14,0%,1%,83%
Large Bubba Gump Wings Deal,1,$30.00,$2.73,$5.53,0%,1%,82%
Kids Ham & Cheese Pizza,1,$13.00,$1.18,$0.00,0%,0%,0%
Large Margherita,1,$0.00,$0.00,$2.30,0%,0%,
Large Pepperoni,1,$0.00,$0.00,$4.56,0%,0%,
Villa Fresco Sangiovese - Large,1,$11.00,$1.00,$4.02,0%,0%,63%
Solo 1.25L,1,$7.00,$0.64,$2.03,0%,0%,71%
Cheesy Garlic Bread,1,$6.00,$0.55,$1.77,0%,0%,70%
