Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Pork Roast,69,"$2,070.00",$188.18,$339.96,11%,25%,84%
Brownie,38,$456.00,$41.42,$107.27,6%,5%,76%
Guinness Draught - Pint,25,$345.89,$31.42,$117.93,4%,4%,66%
Mulled Wine,21,$315.00,$28.57,$42.79,3%,4%,86%
Fresh is Best Lager - Pint,17,$214.96,$19.61,$41.67,3%,3%,81%
Version Two Pinot Grigio - Regular,16,$180.00,$16.35,$28.27,3%,2%,84%
Grifter Pale - Pint,15,$219.00,$19.89,$49.94,2%,3%,77%
Fresh is Best Lager - Schooner,15,$66.50,$6.02,$27.42,2%,1%,59%
White Light Pure Vodka [House],14,$154.00,$14.00,$21.27,2%,2%,86%
Grifter Pale - Schooner,11,$117.50,$10.73,$27.31,2%,1%,77%
Garlic Bread,11,$11.50,$1.04,$15.62,2%,0%,-36%
"Lemon, Lime & Bitters",9,$45.00,$4.05,$0.00,1%,1%,0%
Apple Crumble,9,$144.00,$13.05,$0.00,1%,2%,0%
Villa Fresco Sangiovese - Regular,8,$96.00,$8.72,$19.30,1%,1%,80%
Mother's Milk Shiraz - Regular,8,$120.00,$10.88,$25.73,1%,1%,79%
Pepsi Glass,7,$31.50,$2.87,$0.00,1%,0%,0%
Fresh is Best Summer Lager - Schooner,6,$42.50,$3.85,$9.53,1%,1%,78%
Nut Roast,6,$180.00,$16.36,$32.02,1%,2%,82%
Online Discount,6,-$18.75,$0.00,$0.00,1%,-0%,0%
Philter XPA - Pint,6,$84.00,$7.62,$18.00,1%,1%,79%
Sprite Can,6,$12.00,$1.08,$11.39,1%,0%,5%
Trentham Estate Rosé - Regular,6,$72.00,$6.54,$12.66,1%,1%,82%
Bombay Dry [House],6,$66.00,$6.00,$12.71,1%,1%,81%
Online Surcharge,6,$7.29,$0.00,$0.00,1%,0%,0%
Large Super House Special,5,$149.00,$13.56,$38.60,1%,2%,74%
Version Two Sparkling - Regular,5,$60.00,$5.45,$8.83,1%,1%,85%
Buffalo Wings,5,$89.80,$8.16,$19.51,1%,1%,78%
Stone & Wood - Schooner,5,$52.42,$4.75,$16.25,1%,1%,69%
Soda [mixer],4,$0.00,$0.00,$0.00,1%,0%,0%
Regular Margherita,4,$56.00,$5.08,$4.92,1%,1%,91%
Classic Margarita,4,$58.99,$5.35,$16.30,1%,1%,72%
Peroni 0%,4,$36.29,$3.30,$7.42,1%,0%,80%
Pepsi Max Glass,4,$18.15,$1.66,$0.00,1%,0%,0%
San Pellegrino 500ml,4,$0.00,$0.00,$9.38,1%,0%,
Lime,4,$0.00,$0.00,$0.00,1%,0%,0%
Monkey Shoulder Scotch [House],4,$45.44,$4.14,$0.00,1%,1%,0%
Aperol Spritz,3,$45.00,$4.08,$10.66,0%,1%,76%
Rooster Rojo Blanco Tequila [House],3,$33.36,$3.03,$7.06,0%,0%,79%
Casa Gheller Prosecco - Glass,3,$48.00,$4.35,$10.04,0%,1%,79%
Coke Can,3,$0.00,$0.00,$5.67,0%,0%,
Monteith's Apple Cider Bottle,3,$31.50,$2.86,$9.33,0%,0%,70%
Regular Pepperoni,3,$44.00,$4.00,$6.38,0%,1%,85%
