Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,26,$33.66,$0.00,$0.00,10%,1%,0%
Garlic Bread,24,$58.80,$5.32,$34.08,9%,2%,42%
Regular Margherita,9,$141.10,$12.83,$12.61,3%,4%,91%
Regular Hawaiian,9,$135.16,$12.24,$11.22,3%,4%,92%
Online Discount,8,-$76.15,$0.00,$0.00,3%,-2%,0%
Regular Pepperoni,7,$136.40,$12.40,$16.09,3%,4%,88%
Regular Super House Special,6,$131.40,$11.94,$33.22,2%,4%,75%
Regular Uber Margherita [Dine-in],6,$118.80,$10.79,$20.36,2%,3%,83%
Large Cosmopolitan,5,$144.50,$13.15,$33.05,2%,4%,77%
Regular Little Italy [Dine-in],5,$106.58,$9.68,$24.88,2%,3%,77%
Large Little Italy,5,$80.70,$7.35,$45.59,2%,2%,44%
$45 FEAST,5,$225.00,$20.45,$0.00,2%,6%,0%
Coke Zero Can,5,$19.50,$1.76,$9.45,2%,1%,52%
Large Hawaiian,5,$65.70,$5.97,$16.38,2%,2%,75%
Coke Zero 1.25L,4,$12.90,$1.18,$13.16,2%,0%,-2%
Large Super House Special,4,$112.60,$10.25,$30.93,2%,3%,73%
Regular Vegetarian,4,$69.70,$6.35,$9.48,2%,2%,86%
Regular Tandoori Chicken,4,$80.60,$7.33,$10.00,2%,2%,88%
Large Margherita,4,$43.80,$3.98,$10.31,2%,1%,76%
Large Meatlovers,4,$95.70,$8.70,$28.95,2%,3%,70%
Large Pepperoni,4,$45.80,$4.16,$19.38,2%,1%,58%
Family Tandoori Chicken,3,$89.70,$8.16,$0.00,1%,2%,0%
"Regular No Chorizo, No Cry [Dine-in]",3,$80.55,$7.31,$8.02,1%,2%,90%
Add Chilli,3,$3.00,$0.27,$0.00,1%,0%,0%
San Pellegrino 500ml D,3,$23.70,$2.15,$7.03,1%,1%,70%
Family Margherita,3,$71.70,$6.50,$0.00,1%,2%,0%
Regular Sanchez,3,$70.80,$6.43,$10.69,1%,2%,85%
Large Bubba Gump,3,$58.80,$5.35,$17.44,1%,2%,70%
Add Prawns,3,$12.26,$1.10,$0.00,1%,0%,0%
"Large No Chorizo, No Cry",3,$26.90,$2.45,$17.63,1%,1%,34%
Add Anchovies,3,$6.00,$0.54,$0.00,1%,0%,0%
Sour Cream,3,$3.06,$0.27,$0.00,1%,0%,0%
Large Jimmy Jury,2,$58.80,$5.35,$12.94,1%,2%,78%
Regular Truffalo Soldier [Dine-in],2,$52.85,$4.79,$6.54,1%,1%,88%
Axl Rose Pizza,2,$53.70,$4.88,$0.00,1%,1%,0%
Regular Little Italy,2,$39.80,$3.62,$9.95,1%,1%,75%
Regular Cosmopolitan,2,$51.80,$4.70,$9.47,1%,1%,82%
Add Pepperoni,2,$6.00,$0.54,$0.00,1%,0%,0%
Large BBQ Chicken Pizza,2,$24.90,$2.26,$8.85,1%,1%,64%
Large Sanchez,2,$31.90,$2.90,$11.54,1%,1%,64%
Family Sorrento,2,$59.80,$5.44,$0.00,1%,2%,0%
Large El Patron,2,$31.90,$2.90,$12.23,1%,1%,62%
Add Mushrooms,2,$3.00,$0.28,$0.00,1%,0%,0%
Large Paddock,2,$53.80,$4.90,$10.73,1%,1%,80%
Cheesy Garlic Bread,2,$19.80,$1.80,$3.55,1%,1%,82%
Large Vegetarian,2,$19.90,$1.81,$8.25,1%,1%,59%
$60 BANQUET,2,$120.00,$10.90,$0.00,1%,3%,0%
Regular Meatlovers,2,$45.80,$4.16,$10.36,1%,1%,77%
Family Meatlovers,2,$59.80,$5.44,$0.00,1%,2%,0%
Sprite Can,2,$7.80,$0.71,$3.80,1%,0%,51%
Regular Bubba Gump,2,$39.80,$3.62,$8.33,1%,1%,79%
Family Super House Special,2,$59.80,$5.44,$0.00,1%,2%,0%
Add Ham,2,$6.00,$0.54,$0.00,1%,0%,0%
Regular Hail Africa [Dine-in],2,$55.77,$5.06,$5.99,1%,2%,89%
Large Sorrento,1,$31.90,$2.90,$7.45,0%,1%,77%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Cosmopolitan [Dine-in],1,$26.00,$2.36,$4.73,0%,1%,82%
Regular Sanchez [Dine-in],1,$26.00,$2.36,$3.56,0%,1%,86%
Regular Bubba Gump [Dine-in],1,$26.00,$2.36,$4.16,0%,1%,84%
Regular Uber Margherita,1,$23.90,$2.17,$3.39,0%,1%,86%
Regular Garlic Cheese Pizza,1,$13.40,$1.22,$1.39,0%,0%,90%
Gluten-free Roma Special,1,$22.90,$2.08,$8.66,0%,1%,62%
Add Pineapple,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Super House Special [Dine-in],1,$26.00,$2.36,$5.54,0%,1%,79%
Family Pepperoni,1,$24.90,$2.26,$0.00,0%,1%,0%
Regular New Yorker,1,$18.90,$1.72,$3.79,0%,1%,80%
Regular Jimmy Jury [Dine-in],1,$27.89,$2.54,$3.51,0%,1%,87%
Family Sanchez,1,$29.90,$2.72,$0.00,0%,1%,0%
"Regular No Chorizo, No Cry",1,$19.90,$1.81,$2.67,0%,1%,87%
Regular El Patron,1,$25.90,$2.35,$3.79,0%,1%,85%
Add Bocconcini,1,$3.00,$0.27,$0.00,0%,0%,0%
Add BBQ Sauce,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Roma Special,1,$23.90,$2.17,$4.22,0%,1%,82%
Regular Paddock,1,$19.90,$1.81,$3.24,0%,1%,84%
Large Uber Margherita,1,$24.90,$2.26,$4.74,0%,1%,81%
Gluten-free Little Italy [Dine-in],1,$31.00,$2.82,$10.97,0%,1%,65%
Regular BBQ Chicken Pizza,1,$18.90,$1.72,$3.17,0%,1%,83%
Large Tandoori Chicken,1,$2.50,$0.23,$3.49,0%,0%,-40%
Large Half/Half,1,$2.00,$0.18,$0.00,0%,0%,0%
Large Hail Africa,1,$0.00,$0.00,$6.38,0%,0%,
Regular El Patron [Dine-in],1,$26.85,$2.44,$3.79,0%,1%,86%
Delivery Fee - Freshwater / Queenscliff,1,$5.00,$0.45,$0.00,0%,0%,0%
Large New Yorker,1,$0.00,$0.00,$5.29,0%,0%,
Asahi 3.5% D,1,$6.50,$0.59,$2.55,0%,0%,61%
,260,"$3,643.88",$334.97,$662.96,100%,100%,82%
