Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,25,$33.27,$0.00,$0.00,11%,1%,0%
Garlic Bread,19,$81.50,$7.39,$26.98,8%,3%,67%
Regular Margherita,9,$51.00,$4.65,$11.07,4%,2%,78%
Online Discount,7,-$70.70,$0.00,$0.00,3%,-2%,0%
Add Pineapple,7,$10.50,$0.98,$0.00,3%,0%,0%
Large Super House Special,7,$200.70,$18.27,$54.04,3%,6%,73%
Cheesy Garlic Bread,6,$43.80,$4.00,$10.64,3%,1%,76%
Regular Cosmopolitan,6,$136.60,$12.41,$28.40,3%,4%,79%
Regular Super House Special,5,$121.90,$11.07,$27.64,2%,4%,77%
Large Pepperoni,5,$115.70,$10.53,$22.82,2%,4%,80%
Large Meatlovers,5,$88.90,$8.09,$34.78,2%,3%,61%
Sprite Can,5,$20.00,$1.81,$9.49,2%,1%,53%
Large Bubba Gump,5,$112.70,$10.26,$27.67,2%,4%,75%
Large Jimmy Jury,4,$110.70,$10.08,$24.75,2%,4%,78%
Regular Meatlovers,4,$90.70,$8.24,$19.92,2%,3%,78%
Regular Hawaiian,4,$73.80,$6.71,$4.99,2%,2%,93%
San Pellegrino 500ml D,3,$22.00,$2.00,$7.03,1%,1%,68%
Large Little Italy,3,$31.00,$2.82,$26.51,1%,1%,14%
Regular Bubba Gump,3,$77.90,$7.06,$11.89,1%,2%,85%
Add Olives,3,$4.50,$0.42,$0.00,1%,0%,0%
Grifter Pale Ale Cans D,3,$21.00,$1.92,$9.28,1%,1%,56%
Add Jalapenos,3,$3.55,$0.33,$0.00,1%,0%,0%
WINGS DEAL,2,$60.00,$5.46,$0.00,1%,2%,0%
Regular El Patron [Dine-in],2,$53.72,$4.88,$7.28,1%,2%,86%
Regular Truffalo Soldier [Dine-in],2,$53.70,$4.88,$6.54,1%,2%,88%
Delivery Fee - Freshwater / Queenscliff,2,$10.00,$0.90,$0.00,1%,0%,0%
Regular Little Italy,2,$44.90,$4.08,$9.61,1%,1%,79%
Large Margherita,2,$42.90,$3.90,$4.59,1%,1%,89%
Regular Little Italy [Dine-in],2,$53.70,$4.87,$9.61,1%,2%,82%
$45 FEAST,2,$90.00,$8.18,$0.00,1%,3%,0%
Vegan Cheese [Pizza],2,$6.00,$0.54,$0.00,1%,0%,0%
"Large No Chorizo, No Cry",2,$26.90,$2.45,$11.20,1%,1%,58%
Large Roma Special,2,$49.80,$4.52,$11.26,1%,2%,77%
Family Meatlovers,2,$59.80,$5.44,$0.00,1%,2%,0%
"Regular No Chorizo, No Cry [Dine-in]",2,$53.70,$4.88,$5.01,1%,2%,91%
Large Cosmopolitan,2,$26.90,$2.45,$13.22,1%,1%,51%
Add Ham,2,$6.00,$0.54,$0.00,1%,0%,0%
Family Pepperoni,2,$49.80,$4.52,$0.00,1%,2%,0%
Regular Pepperoni,2,$44.00,$4.00,$4.26,1%,1%,90%
Regular Tandoori Chicken,2,$42.80,$3.89,$4.60,1%,1%,89%
Regular Uber Margherita [Dine-in],2,$47.51,$4.31,$6.39,1%,2%,87%
Regular New Yorker [Dine-in],2,$49.56,$4.50,$7.17,1%,2%,86%
Regular BBQ Chicken Pizza,2,$49.00,$4.46,$5.97,1%,2%,88%
Under the Bridge Pizza,2,$53.70,$4.88,$8.16,1%,2%,85%
Add Anchovies,2,$4.00,$0.36,$0.00,1%,0%,0%
Large Sanchez,2,$53.80,$4.90,$10.98,1%,2%,80%
Add Pepperoni,2,$6.00,$0.54,$0.00,1%,0%,0%
Add Mushrooms,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular New Yorker,2,$42.90,$3.90,$7.17,1%,1%,83%
Large Hawaiian,2,$19.90,$1.81,$6.53,1%,1%,67%
Gluten-free Margherita,1,$6.00,$0.55,$6.08,0%,0%,-1%
Add BBQ Sauce,1,$1.50,$0.14,$0.00,0%,0%,0%
$60 BANQUET,1,$60.00,$5.45,$0.00,0%,2%,0%
Large New Yorker,1,$30.00,$2.73,$5.01,0%,1%,83%
Large Sanchez VEGAN,1,$0.00,$0.00,$4.22,0%,0%,
