Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,23,$28.61,$0.00,$0.00,7%,1%,0%
Regular Margherita,21,$166.00,$15.09,$25.83,7%,4%,84%
Online Discount,19,-$170.00,$0.00,$0.00,6%,-4%,0%
Garlic Bread,18,$68.06,$6.13,$25.56,6%,2%,62%
Large Meatlovers,10,$261.00,$23.76,$69.56,3%,6%,73%
Large Super House Special,10,$294.00,$26.76,$77.21,3%,7%,74%
Large Pepperoni,7,$134.26,$12.22,$31.95,2%,3%,76%
Large Bubba Gump,7,$157.00,$14.26,$38.73,2%,4%,75%
"Regular No Chorizo, No Cry [Dine-in]",6,$161.15,$14.64,$15.02,2%,4%,91%
Large Little Italy,6,$112.00,$10.17,$53.03,2%,3%,53%
Large Hawaiian,6,$108.00,$9.83,$19.58,2%,3%,82%
Add Chilli,5,$5.00,$0.45,$0.00,2%,0%,0%
Regular Little Italy [Dine-in],5,$133.40,$12.11,$24.02,2%,3%,82%
Regular Meatlovers,5,$114.00,$10.35,$24.90,2%,3%,78%
Regular Hawaiian,5,$83.00,$7.54,$6.24,2%,2%,92%
Regular Little Italy,4,$83.50,$7.58,$19.22,1%,2%,77%
"Large No Chorizo, No Cry",4,$54.00,$4.90,$22.39,1%,1%,59%
.Garlic Bread,4,$0.00,$0.00,$5.68,1%,0%,
Banquet Deal Pizzas,4,$0.00,$0.00,$0.00,1%,0%,0%
Regular Uber Margherita [Dine-in],4,$94.26,$8.55,$12.77,1%,2%,86%
Regular Uber Margherita,4,$79.00,$7.18,$12.77,1%,2%,84%
Regular New Yorker [Dine-in],4,$97.57,$8.86,$14.34,1%,2%,85%
Regular Margherita [Dine-in],4,$84.00,$7.46,$4.92,1%,2%,94%
Regular Pepperoni [Dine-in],3,$63.69,$5.80,$0.00,1%,2%,0%
Add Prawns,3,$8.13,$0.73,$0.00,1%,0%,0%
$45 FEAST,3,$135.00,$12.27,$0.00,1%,3%,0%
Garlic  Bread,3,$0.00,$0.00,$4.26,1%,0%,
Coke Zero 1.25L,3,$19.00,$1.74,$11.94,1%,0%,37%
Large Sanchez,3,$54.00,$4.90,$16.47,1%,1%,69%
Choc  Brownie,3,$0.00,$0.00,$5.84,1%,0%,
Coke Zero Can,3,$12.00,$1.08,$5.67,1%,0%,53%
Add Mushrooms,3,$4.50,$0.42,$0.00,1%,0%,0%
Feast Deal Pizzas,3,$135.00,$12.27,$0.00,1%,3%,0%
Cheesy Garlic Bread,3,$12.00,$1.10,$5.32,1%,0%,56%
Regular Sorrento,3,$60.00,$5.46,$12.32,1%,1%,79%
Large BBQ Chicken Pizza,3,$0.00,$0.00,$12.51,1%,0%,
Large Hail Africa,3,$85.00,$7.72,$18.73,1%,2%,78%
Large Margherita,3,$6.00,$0.55,$6.89,1%,0%,-15%
Regular Super House Special,3,$63.00,$5.72,$16.58,1%,2%,74%
Gluten-free Pepperoni,2,$48.00,$4.37,$15.41,1%,1%,68%
.1.25L Coke,2,$0.00,$0.00,$7.38,1%,0%,
Regular Truffalo Soldier [Dine-in],2,$53.71,$4.88,$6.54,1%,1%,88%
Add Olives,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular Vegetarian [Dine-in],2,$46.00,$4.18,$4.74,1%,1%,90%
Regular Jimmy Jury,2,$43.50,$3.95,$6.67,1%,1%,85%
Regular Pepperoni,2,$30.00,$2.72,$4.26,1%,1%,86%
Regular Bubba Gump,2,$40.00,$3.64,$7.92,1%,1%,80%
Regular Paddock,2,$50.00,$4.54,$6.20,1%,1%,88%
Large Sorrento,2,$54.00,$4.90,$14.34,1%,1%,73%
Regular Sanchez [Dine-in],2,$52.85,$4.79,$6.79,1%,1%,87%
Large Vegetarian,2,$20.00,$1.82,$8.23,1%,0%,59%
Gluten-free Base,2,$0.00,$0.00,$8.20,1%,0%,
Sprite Can,2,$8.00,$0.72,$3.80,1%,0%,53%
Add Pineapple,2,$1.07,$0.10,$0.00,1%,0%,0%
Under the Bridge Pizza,2,$53.73,$4.89,$8.16,1%,1%,85%
Add Bocconcini,2,$6.00,$0.54,$0.00,1%,0%,0%
BBQ Chicken.,2,$0.00,$0.00,$0.00,1%,0%,0%
Solo 1.25L,2,$0.00,$0.00,$7.17,1%,0%,
Large Roma Special,2,$55.00,$5.00,$11.26,1%,1%,80%
WINGS DEAL,1,$30.00,$2.73,$0.00,0%,1%,0%
