Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fresh is Best Lager - Pint,50,$590.20,$53.78,$122.32,4%,4%,79%
Classic Margarita,50,$908.77,$82.66,$194.52,4%,6%,79%
Guinness Draught - Pint,37,$644.53,$58.58,$175.71,3%,4%,73%
Fresh is Best Lager - Schooner,28,$244.35,$22.18,$51.07,2%,2%,79%
Online Surcharge,24,$29.94,$0.00,$0.00,2%,0%,0%
Version Two Pinot Grigio - Regular,21.4,$198.04,$18.03,$37.81,2%,1%,81%
Online Discount,20,-$187.01,$0.00,$0.00,2%,-1%,0%
Mulled Wine,20,$306.42,$27.80,$40.70,2%,2%,87%
Garlic Bread,18,$75.00,$6.80,$25.56,2%,0%,66%
Jalapeño Marg,18,$352.50,$32.02,$14.58,2%,2%,96%
Fresh is Best Summer Lager - Schooner,17,$142.05,$12.90,$26.99,1%,1%,81%
Grifter Pale - Pint,16,$180.60,$16.43,$53.27,1%,1%,71%
Regular Margherita,16,$92.70,$8.43,$19.68,1%,1%,79%
Bombay Dry [House],15,$146.80,$13.36,$32.53,1%,1%,78%
Philter XPA - Schooner,14,$125.00,$11.42,$31.31,1%,1%,75%
Villa Fresco Sangiovese - Regular,13.7,$120.28,$10.93,$33.04,1%,1%,73%
Version Two Sparkling - Regular,13,$116.00,$10.57,$22.97,1%,1%,80%
American Standard Burger,12,$333.38,$30.35,$70.13,1%,2%,79%
Kirin - Pint,12,$222.00,$20.16,$60.54,1%,1%,73%
Aperol Spritz,12,$182.73,$16.57,$42.63,1%,1%,77%
Grifter Pale - Schooner,11,$97.20,$8.88,$27.31,1%,1%,72%
On The Rocks,11,$0.00,$0.00,$0.00,1%,0%,0%
Philter XPA - Pint,11,$129.49,$11.76,$33.00,1%,1%,75%
Coconut Margarita,11,$229.21,$20.81,$43.52,1%,1%,81%
Lime,11,$0.00,$0.00,$0.00,1%,0%,0%
Large Super House Special,10,$197.60,$17.99,$77.21,1%,1%,61%
Fresh is Best Summer Lager - Pint,10,$99.69,$9.07,$21.30,1%,1%,79%
Side Tomato Sauce,10,$0.00,$0.00,$0.00,1%,0%,0%
Petits Detours Rosé - Regular,10,$161.58,$14.64,$34.67,1%,1%,79%
Side Aioli,9,$4.62,$0.51,$0.00,1%,0%,0%
Regular Hawaiian,9,$176.70,$16.05,$11.23,1%,1%,94%
Rosemary Salted Fries,9,$117.79,$10.67,$16.70,1%,1%,86%
Stone & Wood - Schooner,8,$102.28,$9.28,$26.08,1%,1%,75%
Stone & Wood - Pint,8,$137.68,$12.53,$34.98,1%,1%,75%
Baked Camembert,8,$204.13,$18.51,$0.00,1%,1%,0%
Arancini Balls [5pc],8,$180.25,$16.39,$0.00,1%,1%,0%
Large Margherita,8,$91.60,$8.34,$18.38,1%,1%,80%
Pepsi Max Glass,8,$36.44,$3.31,$0.00,1%,0%,0%
Negroni,8,$145.37,$13.22,$31.26,1%,1%,78%
Trentham Estate Rosé - Regular,8,$86.00,$7.82,$16.88,1%,1%,80%
Sweet Potato Fries,8,$106.55,$9.65,$20.22,1%,1%,81%
Large Pepperoni,8,$135.60,$12.34,$36.52,1%,1%,73%
Fish Tacos,7,$143.27,$13.04,$15.29,1%,1%,89%
Heaps Normal Tin,7,$77.73,$7.06,$18.69,1%,0%,76%
Geppetto Pinot Noir - Regular,7,$106.96,$9.68,$24.59,1%,1%,77%
No Salt,7,$0.00,$0.00,$0.00,1%,0%,0%
Biscoff Espresso,6,$121.87,$11.07,$19.47,1%,1%,84%
Sensei Calamari,6,$118.92,$10.80,$13.83,1%,1%,88%
Large Meatlovers,6,$138.60,$12.62,$41.74,1%,1%,70%
Large Hawaiian,6,$95.80,$8.72,$19.58,1%,1%,80%
Kuku Sauvignon Blanc - Regular,6,$84.46,$7.66,$17.49,1%,1%,79%
Ottelia Chardonnay - Regular,6,$97.05,$8.81,$20.75,1%,1%,79%
Regular Super House Special,6,$135.80,$12.34,$33.17,1%,1%,76%
BBQ Wings,6,$103.61,$9.46,$18.85,1%,1%,82%
Vinada Sparkling Rose,6,$72.39,$6.57,$18.28,1%,0%,75%
White Light Pure Vodka [House],5,$49.90,$4.54,$7.60,0%,0%,85%
Rocket Man D,5,$57.00,$5.17,$0.00,0%,0%,0%
Regular BBQ Chicken Pizza,5,$116.90,$10.64,$14.93,0%,1%,87%
Kuku Sauvignon Blanc - Large,5,$115.73,$10.52,$24.29,0%,1%,79%
Espresso Martini,5,$83.11,$7.55,$16.16,0%,1%,81%
Regular Little Italy [Dine-in],5,$133.40,$12.12,$24.02,0%,1%,82%
Whispering Angel Rosé - Regular,5,$142.76,$13.01,$33.68,0%,1%,76%
Apple Crumble,5,$82.70,$7.50,$0.00,0%,1%,0%
Beef Burrito D,5,$105.08,$9.55,$33.86,0%,1%,68%
Tommy's Margarita,5,$115.76,$10.52,$23.49,0%,1%,80%
Tonic [mixer],4,$0.00,$0.00,$3.21,0%,0%,
Coke Zero 1.25L,4,$4.81,$0.44,$13.16,0%,0%,-174%
Regular Uber Margherita,4,$81.90,$7.45,$12.77,0%,1%,84%
Large Bubba Gump,4,$85.80,$7.81,$22.13,0%,1%,74%
Casa Gheller Prosecco - Glass,4,$64.00,$5.80,$13.38,0%,0%,79%
Regular Pepperoni,4,$80.90,$7.35,$8.51,0%,1%,89%
Brownie D,4,$26.00,$2.36,$7.79,0%,0%,70%
Kirin - Schooner,4,$56.00,$5.08,$15.05,0%,0%,73%
Amalfi Olives,4,$47.14,$4.29,$0.00,0%,0%,0%
Fancy Pants Parmy - Classic,4,$119.80,$10.92,$32.42,0%,1%,73%
Soda [mixer],4,$0.00,$0.00,$0.00,0%,0%,0%
"Large No Chorizo, No Cry",4,$54.71,$4.98,$22.39,0%,0%,59%
Large BBQ Chicken Pizza,4,$55.40,$5.03,$16.68,0%,0%,70%
Large Little Italy,4,$26.90,$2.45,$35.35,0%,0%,-31%
BBQ Wings D,4,$28.85,$2.63,$12.56,0%,0%,56%
Buffalo Wings D,4,$65.00,$5.90,$15.61,0%,0%,76%
Archie Rose Signature Gin,4,$52.85,$4.80,$10.55,0%,0%,80%
Mother's Milk Shiraz - Regular,4,$61.96,$5.62,$12.87,0%,0%,79%
Lychee Martini,4,$70.25,$6.39,$13.61,0%,0%,81%
No Onion,4,$0.00,$0.00,$0.00,0%,0%,0%
Petits Detours Rosé Mediterranee - Bottle,4,$264.42,$24.05,$64.71,0%,2%,76%
No Anchovies,4,$0.00,$0.00,$0.00,0%,0%,0%
Lepinja Bread,4,$40.99,$3.72,$0.00,0%,0%,0%
Scorched As,3,$48.40,$4.40,$12.45,0%,0%,74%
Fresh Lime Soda,3,$10.61,$0.97,$0.00,0%,0%,0%
Buffalo Wings,3,$54.21,$4.92,$11.71,0%,0%,78%
Regular Jimmy Jury [Dine-in],3,$83.70,$7.59,$10.01,0%,1%,88%
Large Cosmopolitan,3,$32.00,$2.91,$19.83,0%,0%,38%
Stow Schnitty,3,$83.35,$7.59,$15.98,0%,1%,81%
Rooster Rojo Blanco Tequila [House],3,$33.00,$3.00,$6.64,0%,0%,80%
No Pineapple,3,$0.00,$0.00,$0.00,0%,0%,0%
Regular Meatlovers,3,$69.90,$6.35,$14.94,0%,0%,79%
Cauliflower Tacos,3,$61.32,$5.58,$0.00,0%,0%,0%
Geppetto Pinot Noir - Large Glass,3,$73.62,$6.68,$17.56,0%,0%,76%
BBQ Ribs,3,$120.87,$11.00,$0.00,0%,1%,0%
Das Juice Pink Pet Nat - Regular,3,$48.00,$4.35,$9.90,0%,0%,79%
Regular Sanchez,3,$64.80,$5.89,$10.18,0%,0%,84%
Add Anchovies,3,$4.00,$0.36,$0.00,0%,0%,0%
Regular New Yorker [Dine-in],3,$74.37,$6.78,$10.76,0%,0%,86%
Regular Roma Special,3,$72.00,$6.54,$12.10,0%,0%,83%
4 Glasses,3,$0.00,$0.00,$0.00,0%,0%,0%
Flower Child,3,$67.46,$6.13,$8.79,0%,0%,87%
Add Prawns,3,$8.00,$0.72,$0.00,0%,0%,0%
Side Chipotle Mayo,3,$3.09,$0.27,$0.00,0%,0%,0%
Lemon Meringue Martini,3,$63.18,$5.75,$10.51,0%,0%,83%
Add Jalapenos,3,$4.50,$0.42,$0.00,0%,0%,0%
Add Pepperoni,3,$9.00,$0.81,$0.00,0%,0%,0%
Villa Fresco Sangiovese - Large,3,$58.97,$5.38,$12.06,0%,0%,80%
Bang Bang Cauli,3,$52.67,$4.80,$8.28,0%,0%,84%
No Mushroom,2,$0.00,$0.00,$0.00,0%,0%,0%
Stow Soda - Passionfruit,2,$18.59,$1.69,$0.00,0%,0%,0%
Regular Vegetarian,2,$31.80,$2.90,$4.74,0%,0%,85%
Peroni 0%,2,$18.00,$1.64,$3.71,0%,0%,79%
Regular El Patron [Dine-in],2,$53.70,$4.87,$7.28,0%,0%,86%
No Chicken,2,$0.00,$0.00,$0.00,0%,0%,0%
Four Pillars Olive Leaf Martini,2,$50.00,$4.54,$10.15,0%,0%,80%
$60 BANQUET,2,$120.00,$10.90,$0.00,0%,1%,0%
