Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,21,$38.80,$3.51,$29.82,9%,1%,23%
Online Surcharge,16,$16.97,$0.00,$0.00,7%,1%,0%
Coke Zero Can,10,$31.40,$2.85,$18.90,4%,1%,40%
Online Discount,9,-$101.30,$0.00,$0.00,4%,-4%,0%
Extra Mozzarella,7,$14.59,$1.34,$0.00,3%,1%,0%
Regular Super House Special,7,$163.30,$14.83,$38.71,3%,6%,76%
Regular Margherita,7,$117.30,$10.67,$9.81,3%,4%,92%
Regular Pepperoni,6,$119.40,$10.86,$13.79,3%,4%,88%
Large Margherita,6,$115.50,$10.48,$15.46,3%,4%,87%
Sprite Can,5,$7.80,$0.71,$9.49,2%,0%,-22%
Regular Paddock,4,$85.60,$7.78,$12.96,2%,3%,85%
Coke Can,4,$0.00,$0.00,$7.56,2%,0%,
Regular Little Italy,4,$90.70,$8.24,$19.90,2%,3%,78%
"Regular No Chorizo, No Cry [Dine-in]",4,$88.40,$8.02,$10.70,2%,3%,88%
$45 FEAST,4,$180.00,$16.36,$0.00,2%,6%,0%
Add Pineapple,4,$6.00,$0.56,$0.00,2%,0%,0%
Large Hawaiian,4,$45.80,$4.16,$13.06,2%,2%,71%
Large Pepperoni,4,$65.70,$5.97,$19.38,2%,2%,71%
Large Super House Special,4,$117.60,$10.70,$30.89,2%,4%,74%
Regular Little Italy [Dine-in],3,$79.70,$7.23,$14.93,1%,3%,81%
Add Mushrooms,3,$4.50,$0.42,$0.00,1%,0%,0%
Regular Meatlovers,3,$71.70,$6.51,$13.89,1%,3%,81%
Regular El Patron,3,$71.70,$6.51,$11.38,1%,3%,84%
Large Vegetarian,3,$77.70,$7.05,$12.38,1%,3%,84%
Cheesy Garlic Bread,3,$15.90,$1.45,$5.32,1%,1%,67%
Large Little Italy,3,$31.90,$2.90,$27.36,1%,1%,14%
Regular Hawaiian,3,$49.70,$4.49,$3.74,1%,2%,92%
Regular Tandoori Chicken,3,$62.80,$5.71,$7.50,1%,2%,88%
"Large No Chorizo, No Cry",3,$0.00,$0.00,$17.63,1%,0%,
Regular Hail Africa [Dine-in],3,$81.03,$7.34,$8.99,1%,3%,89%
Coke 1.25L,2,$12.90,$1.18,$7.38,1%,0%,43%
Regular Uber Margherita,2,$42.80,$3.89,$6.79,1%,2%,84%
"Regular No Chorizo, No Cry",2,$39.80,$3.62,$5.35,1%,1%,87%
Regular Hail Africa,2,$39.80,$3.62,$5.99,1%,1%,85%
Regular Jimmy Jury [Dine-in],2,$55.78,$5.06,$7.01,1%,2%,87%
Add Ham,2,$6.00,$0.54,$0.00,1%,0%,0%
Large Paddock,2,$0.00,$0.00,$10.73,1%,0%,
Large Sorrento,2,$58.80,$5.35,$14.91,1%,2%,75%
Add Prawns,2,$8.00,$0.72,$0.00,1%,0%,0%
Regular Garlic Cheese Pizza,2,$30.30,$2.76,$2.78,1%,1%,91%
Peroni D,2,$12.00,$1.10,$5.12,1%,0%,57%
Large Cosmopolitan,2,$53.80,$4.90,$13.18,1%,2%,76%
Add Corn,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular Sorrento,2,$51.80,$4.70,$8.56,1%,2%,83%
Large New Yorker,2,$24.90,$2.26,$10.58,1%,1%,58%
