Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Version Two Pinot Grigio - Regular,15,$157.80,$14.38,$26.50,5%,4%,83%
Fresh is Best Lager - Pint,11,$135.23,$12.32,$26.97,4%,3%,80%
Guinness Draught - Pint,11,$176.70,$16.03,$52.41,4%,5%,70%
Stone & Wood - Schooner,9,$118.27,$10.74,$29.38,3%,3%,75%
Regular Hail Africa [Dine-in],9,$165.53,$15.05,$26.21,3%,4%,84%
Geppetto Pinot Noir - Regular,8,$118.96,$10.76,$28.10,3%,3%,76%
Rosemary Salted Fries,7,$92.03,$8.35,$12.99,2%,2%,86%
Mulled Wine,7,$104.98,$9.50,$14.26,2%,3%,86%
Fresh is Best Lager - Schooner,6,$49.05,$4.45,$10.97,2%,1%,78%
Status Quo - Pint,6,$102.64,$9.32,$24.98,2%,3%,76%
"Regular No Chorizo, No Cry [Dine-in]",6,$91.18,$8.31,$15.02,2%,2%,84%
Kuku Sauvignon Blanc - Regular,6,$85.38,$7.73,$17.49,2%,2%,80%
Coconut Margarita,5,$80.00,$7.25,$19.79,2%,2%,75%
Side Aioli,5,$2.60,$0.30,$0.00,2%,0%,0%
Stone & Wood - Pint,5,$84.42,$7.70,$21.89,2%,2%,74%
Heaps Normal Tin,5,$44.74,$4.07,$13.35,2%,1%,70%
Petits Detours Rosé - Regular,5,$82.63,$7.50,$17.33,2%,2%,79%
Ottelia Cab Sav - Regular,5,$85.00,$7.75,$23.04,2%,2%,73%
Lemonade Glass,4,$18.60,$1.70,$0.00,1%,0%,0%
Add Anchovies,4,$8.14,$0.74,$0.00,1%,0%,0%
Regular Little Italy [Dine-in],4,$73.18,$6.66,$19.22,1%,2%,74%
Regular Truffalo Soldier [Dine-in],4,$73.18,$6.66,$13.07,1%,2%,82%
Philter XPA - Pint,4,$42.00,$3.82,$12.00,1%,1%,71%
Bombay Dry [House],4,$40.00,$3.64,$8.67,1%,1%,78%
Philter XPA - Schooner,4,$41.40,$3.79,$8.95,1%,1%,78%
Pepsi Max Glass,4,$18.15,$1.65,$0.00,1%,0%,0%
Villa Fresco Sangiovese - Regular,4,$47.19,$4.29,$9.65,1%,1%,80%
Gluten-free Base,4,$20.66,$1.86,$16.40,1%,1%,21%
Ottelia Chardonnay - Regular,4,$64.00,$5.81,$13.84,1%,2%,78%
Grifter Pale - Pint,4,$58.99,$5.34,$13.32,1%,2%,77%
