Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fresh is Best Lager - Pint,50,$591.76,$53.96,$122.32,5%,4%,79%
Version Two Pinot Grigio - Regular,29,$261.00,$23.80,$51.23,3%,2%,80%
Online Surcharge,26,$33.66,$0.00,$0.00,2%,0%,0%
Garlic Bread,24,$58.80,$5.32,$34.08,2%,0%,42%
Guinness Draught - Pint,24,$420.00,$38.16,$113.98,2%,3%,73%
Stone & Wood - Schooner,22,$292.78,$26.59,$71.72,2%,2%,76%
Classic Margarita,21,$362.64,$32.97,$81.70,2%,3%,77%
Grifter Pale - Pint,20,$258.00,$23.42,$66.59,2%,2%,74%
Philter XPA - Schooner,19,$208.80,$19.04,$42.49,2%,1%,80%
Jalapeño Marg,19,$432.03,$39.25,$15.39,2%,3%,96%
Philter XPA - Pint,18,$229.99,$20.86,$53.99,2%,2%,77%
White Light Pure Vodka [House],17,$167.00,$15.20,$25.83,2%,1%,85%
Rosemary Salted Fries,15,$196.45,$17.84,$27.83,1%,1%,86%
Side Tomato Sauce,13,$0.00,$0.00,$0.00,1%,0%,0%
Mulled Wine,13,$198.46,$17.99,$26.45,1%,1%,87%
Stone & Wood - Pint,12,$206.20,$18.80,$52.47,1%,1%,75%
Side Aioli,12,$6.08,$0.64,$0.00,1%,0%,0%
Fresh is Best Lager - Schooner,10,$73.60,$6.69,$18.24,1%,1%,75%
Casa Gheller Prosecco - Glass,10,$158.39,$14.36,$33.46,1%,1%,79%
Sweet Potato Fries,10,$132.97,$12.06,$25.28,1%,1%,81%
Regular Margherita,9,$141.10,$12.83,$12.61,1%,1%,91%
Trentham Estate Rosé - Regular,9,$95.87,$8.73,$18.99,1%,1%,80%
Regular Hawaiian,9,$135.16,$12.24,$11.22,1%,1%,92%
Philter Pale - Schooner,9,$93.98,$8.51,$0.00,1%,1%,0%
Send Kids Food ASAP,9,$0.00,$0.00,$0.00,1%,0%,0%
Beef Burrito,9,$230.19,$20.96,$60.94,1%,2%,74%
Make It A Burrito Bowl [gluten-free],8,$0.00,$0.00,$0.00,1%,0%,0%
Online Discount,8,-$76.15,$0.00,$0.00,1%,-1%,0%
Trutta Streamside Shiraz [Chilled] - Regular,8,$148.13,$13.48,$31.75,1%,1%,79%
Beef Cheek,8,$313.88,$28.56,$0.00,1%,2%,0%
Status Quo - Pint,8,$143.43,$13.02,$33.31,1%,1%,77%
Fresh is Best Summer Lager - Pint,8,$94.17,$8.56,$17.04,1%,1%,82%
Fresh is Best Summer Lager - Schooner,8,$61.06,$5.57,$12.70,1%,0%,79%
On The Rocks,8,$0.00,$0.00,$0.00,1%,0%,0%
Stow Schnitty,7,$192.73,$17.57,$37.28,1%,1%,81%
Kirin - Pint,7,$125.80,$11.42,$35.32,1%,1%,72%
Aperol Spritz,7,$118.69,$10.79,$24.87,1%,1%,79%
Sensei Calamari,7,$139.06,$12.63,$16.14,1%,1%,88%
Grifter Pale - Schooner,7,$67.00,$6.12,$17.38,1%,0%,74%
