Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
White Light Pure Vodka [House],44,$422.50,$38.46,$66.84,3%,2%,84%
Fresh is Best Lager - Pint,39,$440.49,$40.18,$95.41,3%,2%,78%
Classic Margarita,38,$652.04,$59.29,$148.64,3%,4%,77%
Stone & Wood - Schooner,31.7,$414.83,$37.69,$103.51,2%,2%,75%
Fresh is Best Lager - Schooner,31,$282.29,$25.61,$56.54,2%,2%,80%
Online Surcharge,28,$32.41,$0.00,$0.00,2%,0%,0%
Version Two Pinot Grigio - Regular,27.7,$250.85,$22.84,$48.94,2%,1%,80%
Guinness Draught - Pint,25,$436.28,$39.63,$118.73,2%,2%,73%
Garlic Bread,22,$56.10,$5.13,$31.24,2%,0%,44%
Status Quo - Schooner,21.7,$292.93,$26.69,$67.36,2%,2%,77%
Stone & Wood - Pint,18,$307.12,$28.01,$78.83,1%,2%,74%
Philter XPA - Pint,15,$148.09,$13.49,$44.99,1%,1%,70%
Jalapeño Marg,15,$345.75,$31.41,$12.47,1%,2%,96%
Petits Detours Rosé - Regular,15,$244.22,$22.14,$52.17,1%,1%,79%
Fresh is Best Summer Lager - Schooner,14.7,$116.23,$10.57,$23.34,1%,1%,80%
Grifter Pale - Pint,14,$168.30,$15.29,$46.61,1%,1%,72%
Status Quo - Pint,14,$246.14,$22.36,$58.29,1%,1%,76%
Rosemary Salted Fries,14,$185.64,$16.83,$25.97,1%,1%,86%
Kirin - Pint,13,$241.11,$21.90,$65.74,1%,1%,73%
Philter XPA - Schooner,12,$113.36,$10.34,$26.84,1%,1%,76%
Villa Fresco Sangiovese - Regular,12,$129.62,$11.78,$28.94,1%,1%,78%
Fish Tacos,12,$246.59,$22.45,$26.22,1%,1%,89%
Rooster Rojo Blanco Tequila [House],11,$98.80,$9.00,$24.36,1%,1%,75%
Side Tomato Sauce,11,$0.00,$0.00,$0.00,1%,0%,0%
Side Aioli,11,$5.66,$0.63,$0.00,1%,0%,0%
Regular Margherita,11,$146.05,$13.26,$15.42,1%,1%,89%
Cheesy Garlic Bread,11,$75.60,$6.90,$19.51,1%,0%,74%
Grifter Pale - Schooner,10,$106.00,$9.68,$24.82,1%,1%,77%
