Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,32,$70.10,$6.41,$45.44,12%,2%,35%
Online Surcharge,14,$16.47,$0.00,$0.00,5%,0%,0%
Regular Margherita,14,$180.90,$16.45,$19.62,5%,5%,89%
Regular Pepperoni,11,$154.20,$14.03,$25.29,4%,4%,84%
Regular Hawaiian,9,$134.20,$12.19,$11.22,3%,4%,92%
Large Super House Special,9,$177.28,$16.13,$69.51,3%,5%,61%
Large Margherita,7,$76.86,$6.98,$18.04,3%,2%,77%
Large Pepperoni,7,$99.62,$9.05,$33.92,3%,3%,66%
Large Hawaiian,7,$111.50,$10.13,$22.85,3%,3%,80%
Regular Meatlovers,7,$131.40,$11.94,$32.41,3%,3%,75%
Large Meatlovers,6,$95.70,$8.70,$38.80,2%,3%,59%
Regular Sanchez [Dine-in],6,$159.43,$14.47,$17.09,2%,4%,89%
Regular Super House Special,6,$117.50,$10.67,$33.18,2%,3%,72%
Add Mushrooms,5,$7.50,$0.70,$0.00,2%,0%,0%
Regular Little Italy [Dine-in],5,$131.70,$11.96,$24.88,2%,3%,81%
Regular Hail Africa [Dine-in],4,$111.60,$10.11,$11.98,2%,3%,89%
$45 FEAST,4,$180.00,$16.36,$0.00,2%,5%,0%
Add Chilli,4,$4.03,$0.36,$0.00,2%,0%,0%
Regular Tandoori Chicken,4,$61.70,$5.61,$10.00,2%,2%,84%
Large BBQ Chicken Pizza,4,$59.80,$5.44,$17.70,2%,2%,70%
Add Pineapple,3,$4.50,$0.42,$0.00,1%,0%,0%
Regular New Yorker [Dine-in],3,$74.36,$6.75,$11.36,1%,2%,85%
Regular El Patron [Dine-in],3,$79.70,$7.24,$11.38,1%,2%,86%
Family Super House Special,2,$66.80,$6.07,$0.00,1%,2%,0%
Delivery Fee - Freshwater / Queenscliff,2,$10.00,$0.90,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],2,$55.77,$5.06,$7.01,1%,1%,87%
Add Olives,2,$3.05,$0.29,$0.00,1%,0%,0%
Less Cheese,2,$0.00,$0.00,$0.00,1%,0%,0%
Regular El Patron,2,$39.80,$3.62,$7.58,1%,1%,81%
Solo 1.25L,2,$0.00,$0.00,$4.06,1%,0%,
Regular New Yorker,2,$37.80,$3.44,$7.57,1%,1%,80%
Regular Little Italy,2,$39.80,$3.62,$9.95,1%,1%,75%
"Large No Chorizo, No Cry",2,$26.90,$2.45,$11.76,1%,1%,56%
$60 BANQUET,2,$120.00,$10.90,$0.00,1%,3%,0%
Large Little Italy,2,$58.80,$5.35,$18.24,1%,2%,69%
Large Cosmopolitan,2,$40.35,$3.68,$13.18,1%,1%,67%
Vegan Cheese,2,$6.00,$0.54,$0.00,1%,0%,0%
Large Vegetarian,2,$19.90,$1.81,$8.25,1%,1%,59%
Add Bacon,2,$8.00,$0.72,$0.00,1%,0%,0%
Regular Garlic Cheese Pizza,2,$26.80,$2.44,$2.78,1%,1%,90%
Coke Zero 1.25L,2,$13.80,$1.26,$6.18,1%,0%,55%
Regular Cosmopolitan,2,$45.80,$4.16,$9.43,1%,1%,79%
Regular BBQ Chicken Pizza,2,$42.80,$3.89,$6.34,1%,1%,85%
Regular Roma Special,2,$42.80,$3.89,$8.44,1%,1%,80%
Large Uber Margherita,2,$24.90,$2.26,$9.48,1%,1%,62%
Large Tandoori Chicken,1,$29.90,$2.72,$3.49,0%,1%,88%
Family Vegetarian,1,$28.90,$2.63,$0.00,0%,1%,0%
Regular Paddock,1,$19.90,$1.81,$3.24,0%,1%,84%
Add Pumpkin,1,$1.50,$0.14,$0.00,0%,0%,0%
Gluten-free Tandoori Chicken,1,$22.90,$2.08,$6.94,0%,1%,70%
Regular Sorrento,1,$0.00,$0.00,$4.28,0%,0%,
Family Meatlovers,1,$29.90,$2.72,$0.00,0%,1%,0%
Large Jimmy Jury,1,$31.90,$2.90,$6.47,0%,1%,80%
Large Bubba Gump,1,$31.90,$2.90,$5.81,0%,1%,82%
Gluten-free Uber Margherita,1,$22.90,$2.08,$7.83,0%,1%,66%
Family Tandoori Chicken,1,$29.90,$2.72,$0.00,0%,1%,0%
Regular Truffalo Soldier,1,$19.90,$1.81,$3.27,0%,1%,84%
Large Hail Africa,1,$31.90,$2.90,$6.38,0%,1%,80%
Gluten-free Pepperoni,1,$19.90,$1.81,$7.91,0%,1%,60%
Large El Patron,1,$13.45,$1.22,$6.11,0%,0%,55%
Gluten-free BBQ Chicken Pizza,1,$22.90,$2.08,$7.61,0%,1%,67%
Add Jalapenos,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Uber Margherita,1,$18.90,$1.72,$3.39,0%,0%,82%
Large New Yorker,1,$0.00,$0.00,$5.29,0%,0%,
Two Tonne Riesling D,1,$48.00,$4.36,$17.58,0%,1%,63%
Cheesy Garlic Bread,1,$9.90,$0.90,$1.77,0%,0%,82%
Regular Margherita [Dine-in],1,$21.00,$1.91,$1.40,0%,1%,93%
Large Half/Half,1,$21.90,$1.99,$0.00,0%,1%,0%
Add Calabrese,1,$4.00,$0.36,$0.00,0%,0%,0%
Chicken,1,$0.00,$0.00,$0.00,0%,0%,0%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,0%,0%,0%
Gluten-free Cosmopolitan,1,$23.90,$2.17,$9.15,0%,1%,62%
