Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
$80 Razzle Dazzle,44,"$3,520.00",$319.88,$0.00,3%,18%,0%
Fresh is Best Lager - Pint,44,$406.96,$37.12,$107.64,3%,2%,74%
White Light Pure Vodka [House],42,$427.44,$38.88,$63.81,3%,2%,85%
Fresh is Best Lager - Schooner,38.7,$310.55,$28.22,$70.59,3%,2%,77%
$2 Buffalo Wing,32,$65.20,$5.90,$15.61,2%,0%,76%
Lime,29,$0.00,$0.00,$0.00,2%,0%,0%
Soda [mixer],27,$0.00,$0.00,$0.00,2%,0%,0%
$2 BBQ Wing,27,$54.60,$4.89,$10.60,2%,0%,81%
Guinness Draught - Pint,27,$448.54,$40.74,$128.22,2%,2%,71%
Online Surcharge,25,$33.27,$0.00,$0.00,2%,0%,0%
Version Two Sparkling - Regular,23,$191.00,$17.42,$40.63,2%,1%,79%
Rooster Rojo Blanco Tequila [House],23,$227.00,$20.64,$50.92,2%,1%,78%
Stone & Wood - Schooner,21,$272.05,$24.67,$68.46,1%,1%,75%
Side Aioli,21,$10.78,$1.17,$0.00,1%,0%,0%
Garlic Bread,19,$81.50,$7.39,$26.98,1%,0%,67%
Stone & Wood - Pint,19,$321.74,$29.34,$83.08,1%,2%,74%
Fresh is Best Summer Lager - Schooner,18,$144.25,$13.11,$28.58,1%,1%,80%
Aperol Spritz,18,$338.15,$30.75,$63.95,1%,2%,81%
American Standard Burger,16,$289.86,$26.40,$93.50,1%,1%,68%
Philter XPA - Schooner,16,$140.14,$12.81,$35.78,1%,1%,74%
Philter XPA - Pint,16,$181.28,$16.47,$47.99,1%,1%,74%
Fresh Lime Soda,15,$52.61,$4.81,$0.00,1%,0%,0%
Jalapeño Marg,15,$330.57,$30.01,$12.15,1%,2%,96%
Grey Goose,15,$216.87,$19.66,$40.19,1%,1%,81%
Sensei Calamari,13,$241.12,$21.91,$29.97,1%,1%,88%
Sweet Potato Fries,13,$172.84,$15.66,$32.86,1%,1%,81%
Espresso Martini,12,$193.31,$17.57,$38.79,1%,1%,80%
Classic Margarita,12,$224.64,$20.44,$46.68,1%,1%,79%
Rosemary Salted Fries,12,$158.59,$14.37,$22.26,1%,1%,86%
Side Tomato Sauce,11,$0.00,$0.00,$0.00,1%,0%,0%
Arancini Balls [5pc],11,$246.70,$22.41,$0.00,1%,1%,0%
Grifter Pale - Schooner,10.7,$101.90,$9.31,$26.56,1%,1%,74%
Lychee Martini,10,$193.24,$17.58,$34.03,1%,1%,82%
Grifter Pale - Pint,10,$126.00,$11.44,$33.29,1%,1%,74%
Buffalo Wings,10,$166.80,$15.14,$39.02,1%,1%,77%
Side Blue Cheese Dip,10,$8.86,$0.80,$0.00,1%,0%,0%
Bacardi Blanca [House],9,$88.00,$8.00,$19.23,1%,0%,78%
Negroni,9,$183.90,$16.71,$35.16,1%,1%,81%
Regular Margherita,9,$51.00,$4.65,$11.07,1%,0%,78%
"Lemon, Lime & Bitters",8,$40.99,$3.69,$0.00,1%,0%,0%
