Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,28,$32.41,$0.00,$0.00,9%,1%,0%
Garlic Bread,22,$56.10,$5.13,$31.24,7%,1%,44%
Regular Margherita,11,$146.05,$13.26,$15.42,3%,3%,89%
Cheesy Garlic Bread,11,$75.60,$6.90,$19.51,3%,2%,74%
Large Margherita,9,$115.29,$10.47,$23.20,3%,3%,80%
Large Hawaiian,8,$91.60,$8.31,$26.12,2%,2%,71%
Add Mushrooms,8,$12.00,$1.12,$0.00,2%,0%,0%
Large Pepperoni,7,$119.52,$10.86,$33.92,2%,3%,72%
Regular Pepperoni,7,$97.61,$8.89,$16.09,2%,2%,84%
Regular New Yorker [Dine-in],6,$147.93,$13.43,$22.72,2%,3%,85%
Large BBQ Chicken Pizza,6,$49.80,$4.52,$26.55,2%,1%,47%
Add Prawns,6,$24.00,$2.16,$0.00,2%,1%,0%
Regular Little Italy [Dine-in],5,$133.40,$12.12,$24.88,2%,3%,81%
Large Super House Special,5,$144.50,$13.15,$38.62,2%,3%,73%
Regular Bubba Gump,5,$123.50,$11.21,$20.81,2%,3%,83%
$45 FEAST,5,$225.00,$20.45,$0.00,2%,5%,0%
Regular Uber Margherita,4,$83.80,$7.62,$13.57,1%,2%,84%
Regular Hawaiian,4,$74.60,$6.78,$4.99,1%,2%,93%
Add Pineapple,4,$6.00,$0.56,$0.00,1%,0%,0%
"Large No Chorizo, No Cry",4,$107.60,$9.80,$23.51,1%,2%,78%
Add Chilli,4,$4.00,$0.36,$0.00,1%,0%,0%
Extra Mozzarella,4,$10.00,$0.92,$0.00,1%,0%,0%
Vegan Cheese,4,$12.10,$1.09,$0.00,1%,0%,0%
Delivery Fee - Freshwater / Queenscliff,4,$20.00,$1.80,$0.00,1%,0%,0%
Large Sanchez,4,$57.30,$5.22,$20.00,1%,1%,65%
Large New Yorker,3,$74.70,$6.79,$15.87,1%,2%,79%
Add Onion,3,$4.50,$0.42,$0.00,1%,0%,0%
Regular Super House Special,3,$71.70,$6.51,$16.59,1%,2%,77%
"Regular No Chorizo, No Cry [Dine-in]",3,$79.70,$7.23,$8.02,1%,2%,90%
Large Meatlovers,3,$85.70,$7.80,$19.40,1%,2%,77%
Family Pepperoni,3,$73.73,$6.70,$0.00,1%,2%,0%
Regular Sanchez [Dine-in],3,$80.58,$7.31,$8.55,1%,2%,89%
Large Sorrento,3,$85.70,$7.80,$22.36,1%,2%,74%
Regular Uber Margherita [Dine-in],3,$71.27,$6.48,$10.18,1%,2%,86%
Regular Sanchez,3,$59.70,$5.43,$8.55,1%,1%,86%
Sprite Can,3,$11.70,$1.06,$5.69,1%,0%,51%
Regular Little Italy,3,$71.70,$6.51,$14.93,1%,2%,79%
Online Discount,3,-$41.35,$0.00,$0.00,1%,-1%,0%
