Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Classic Margarita,30,$450.46,$40.83,$117.35,5%,6%,74%
Fresh is Best Lager - Pint,24,$295.21,$26.92,$58.71,4%,4%,80%
Grifter Pale - Pint,13,$196.96,$17.84,$43.28,2%,3%,78%
Fish Tacos,11,$209.96,$19.10,$24.03,2%,3%,89%
Mulled Wine,11,$165.50,$15.01,$22.29,2%,2%,87%
Side Tomato Sauce,11,$0.00,$0.00,$0.00,2%,0%,0%
Villa Fresco Sangiovese - Regular,11,$133.96,$12.17,$26.53,2%,2%,80%
Sweet Potato Fries,10,$132.98,$12.08,$25.28,2%,2%,81%
Fresh is Best Lager - Schooner,10,$93.43,$8.46,$18.24,2%,1%,80%
Corona,10,$105.69,$9.56,$25.71,2%,1%,76%
Version Two Pinot Grigio - Regular,9.4,$95.80,$8.72,$16.61,2%,1%,83%
Stone & Wood - Schooner,9,$117.42,$10.65,$29.39,2%,2%,75%
Garlic Bread,9,$0.00,$0.00,$12.78,2%,0%,
Negroni,9,$137.51,$12.45,$35.61,2%,2%,74%
Geppetto Pinot Noir - Regular,8,$121.98,$11.06,$28.10,1%,2%,77%
Fancy Pants Parmy - Classic,8,$238.65,$21.73,$67.59,1%,3%,72%
Kuku Sauvignon Blanc - Regular,7,$98.00,$8.89,$20.40,1%,1%,79%
Chicken Burrito,7,$185.87,$16.93,$47.59,1%,2%,74%
Grifter Pale - Schooner,7,$69.20,$6.32,$17.38,1%,1%,75%
Kirin - Schooner,6.4,$89.60,$8.14,$24.13,1%,1%,73%
Rosemary Salted Fries,6,$79.50,$7.22,$11.13,1%,1%,86%
On The Rocks,6,$0.00,$0.00,$0.00,1%,0%,0%
White Light Pure Vodka [House],6,$62.00,$5.64,$9.12,1%,1%,85%
American Standard Burger,6,$164.93,$15.02,$35.06,1%,2%,79%
Side BBQ Sauce,6,$0.00,$0.00,$0.00,1%,0%,0%
Lychee Martini,6,$88.49,$8.04,$20.42,1%,1%,77%
Stow Schnitty,6,$164.92,$15.01,$31.96,1%,2%,81%
Guinness Draught - Pint,6,$105.00,$9.54,$28.49,1%,1%,73%
Crankshaft IPA - Schooner,5.7,$67.50,$6.15,$18.28,1%,1%,73%
Sensei Calamari,5,$99.42,$9.02,$11.53,1%,1%,88%
Large Meatlovers,4,$63.80,$5.80,$25.87,1%,1%,59%
Large Hawaiian,4,$25.90,$2.35,$13.06,1%,0%,50%
Philter XPA - Pint,4,$54.79,$4.98,$12.00,1%,1%,78%
Side Aioli,4,$2.02,$0.21,$0.00,1%,0%,0%
Fresh is Best Summer Lager - Pint,4,$48.78,$4.42,$8.52,1%,1%,83%
Lime Wedge,4,$0.00,$0.00,$0.00,1%,0%,0%
Little Dragon Can,4,$51.64,$4.72,$13.91,1%,1%,73%
Online Surcharge,4,$5.03,$0.00,$0.00,1%,0%,0%
Beetle Juice,4,$69.10,$6.29,$14.63,1%,1%,79%
Ice,4,$0.00,$0.00,$0.00,1%,0%,0%
Regular Hawaiian,4,$74.60,$6.78,$4.99,1%,1%,93%
Philter XPA - Schooner,4,$46.00,$4.20,$8.95,1%,1%,81%
Beef Burrito,4,$117.49,$10.69,$27.09,1%,2%,77%
Espresso Martini,3,$46.48,$4.22,$9.69,1%,1%,79%
Regular Pepperoni,3,$41.79,$3.81,$6.90,1%,1%,83%
Regular Truffalo Soldier [Dine-in],3,$80.57,$7.30,$9.80,1%,1%,88%
"Lemon, Lime & Bitters",3,$15.48,$1.38,$0.00,1%,0%,0%
Buffalo Trace Bourbon [House],3,$33.00,$3.00,$6.85,1%,0%,79%
BBQ Ribs,3,$136.34,$12.40,$0.00,1%,2%,0%
WINGS DEAL,3,$90.00,$8.19,$0.00,1%,1%,0%
Jalapeño Marg,3,$51.56,$4.70,$2.49,1%,1%,95%
Regular Little Italy [Dine-in],3,$80.55,$7.32,$14.93,1%,1%,81%
Padrillos Malbec - Regular,3,$54.00,$4.92,$11.60,1%,1%,79%
BBQ Wings,3,$52.35,$4.77,$9.41,1%,1%,82%
Regular Jimmy Jury [Dine-in],3,$82.80,$7.51,$10.52,1%,1%,87%
Stone & Wood - Pint,3,$51.00,$4.65,$13.14,1%,1%,74%
Pepsi Max Glass,3,$13.65,$1.25,$0.00,1%,0%,0%
Lemonade Glass,3,$13.80,$1.27,$0.00,1%,0%,0%
Bang Bang Cauli,3,$52.68,$4.80,$8.28,1%,1%,84%
Arancini Balls [5pc],3,$67.86,$6.16,$0.00,1%,1%,0%
Gin Martini,3,$66.00,$6.00,$12.35,1%,1%,81%
Aperol Spritz,3,$43.95,$3.99,$10.66,1%,1%,76%
Fresh is Best Summer Lager - Schooner,3,$24.00,$2.18,$4.76,1%,0%,80%
Vinada Sparkling Rose,3,$36.39,$3.31,$7.54,1%,0%,79%
Filthy,3,$0.00,$0.00,$0.00,1%,0%,0%
Grifter Omen Stout Tin,3,$40.29,$3.66,$10.52,1%,1%,74%
No Pineapple,3,$0.00,$0.00,$0.00,1%,0%,0%
BBQ Wings D,3,$0.00,$0.00,$9.41,1%,0%,
Villa Fresco Sangiovese - Large,3,$58.86,$5.37,$12.06,1%,1%,80%
Philter Pale - Schooner,2.7,$21.00,$1.90,$0.00,0%,0%,0%
Amalfi Olives,2,$23.76,$2.17,$0.00,0%,0%,0%
Buffalo Wings D,2,$35.80,$3.26,$7.80,0%,0%,78%
Large Super House Special,2,$31.90,$2.90,$15.45,0%,0%,52%
Mother's Milk Shiraz - Regular,2,$30.49,$2.76,$6.43,0%,0%,79%
Fever-Tree Mediterannean  [mixer],2,$2.03,$0.18,$0.00,0%,0%,0%
Rocket Man,2,$37.18,$3.39,$6.39,0%,0%,83%
Ron Zacapa 23yr,2,$38.00,$3.45,$8.33,0%,1%,78%
Scorched As,2,$35.13,$3.20,$8.34,0%,0%,76%
Fresh Lime Soda,2,$7.00,$0.64,$0.00,0%,0%,0%
Sour Cream,2,$1.03,$0.09,$0.00,0%,0%,0%
Extra Olives,2,$0.00,$0.00,$0.00,0%,0%,0%
Swap Fries for Sweet Potato Fries,2,$4.14,$0.38,$0.00,0%,0%,0%
Petits Detours Rosé - Regular,2,$32.53,$2.95,$6.96,0%,0%,79%
Pie,2,$66.88,$6.07,$0.00,0%,1%,0%
Island Time,2,$48.80,$4.43,$7.97,0%,1%,84%
Rooster Rojo Blanco Tequila [House],2,$22.00,$2.00,$4.43,0%,0%,80%
Coke Zero Can,2,$7.80,$0.71,$3.78,0%,0%,52%
Axl Rose Pizza,2,$53.73,$4.89,$0.00,0%,1%,0%
Make It A Burrito Bowl [gluten-free],2,$0.00,$0.00,$0.00,0%,0%,0%
Swap Gravy for Aioli,2,$0.00,$0.00,$0.00,0%,0%,0%
Glaetzer Anaperenna Shiraz Cab - Regular,2,$56.00,$5.10,$13.93,0%,1%,75%
Regular Margherita,2,$25.06,$2.28,$2.80,0%,0%,89%
Add Pepperoni,2,$6.10,$0.55,$0.00,0%,0%,0%
Seadrift Coast Non-alc G&T,2,$26.84,$2.43,$4.82,0%,0%,82%
Stow Soda - Passionfruit,2,$18.59,$1.69,$0.00,0%,0%,0%
Beef Cheek,2,$79.80,$7.26,$0.00,0%,1%,0%
Lemon Meringue Martini,2,$35.12,$3.20,$7.01,0%,0%,80%
Beef Burger D,2,$48.00,$4.36,$0.00,0%,1%,0%
Trentham Estate Rosé - Regular,2,$24.00,$2.18,$4.22,0%,0%,82%
Lime,2,$0.00,$0.00,$0.00,0%,0%,0%
Buffalo Wings,1,$18.10,$1.65,$3.90,0%,0%,78%
Add Prawns,1,$4.00,$0.36,$0.00,0%,0%,0%
Kids Fried Rice,1,$13.42,$1.21,$0.00,0%,0%,0%
Side Gravy,1,$1.55,$0.15,$0.34,0%,0%,78%
Hendricks Gin Tonica,1,$21.69,$1.97,$5.14,0%,0%,76%
Farmhouse Salad D,1,$21.00,$1.91,$0.00,0%,0%,0%
Bundaberg Ginger Beer,1,$5.16,$0.46,$0.88,0%,0%,83%
Brownie D,1,$0.00,$0.00,$1.95,0%,0%,
Regular Little Italy,1,$25.90,$2.35,$4.98,0%,0%,81%
Regular Sanchez,1,$19.90,$1.81,$2.85,0%,0%,86%
No Anchovies,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Sanchez [Dine-in],1,$26.85,$2.44,$2.85,0%,0%,89%
No Onion,1,$0.00,$0.00,$0.00,0%,0%,0%
Lemon,1,$0.00,$0.00,$0.00,0%,0%,0%
No Sugar,1,$0.00,$0.00,$0.00,0%,0%,0%
Add Ham,1,$3.00,$0.27,$0.00,0%,0%,0%
Hendrick's Gin,1,$14.00,$1.27,$2.69,0%,0%,81%
Ottelia Chardonnay - Regular,1,$16.00,$1.45,$3.46,0%,0%,78%
Glass of Ice on the Side,1,$0.00,$0.00,$0.00,0%,0%,0%
Status Quo - Schooner,1,$13.50,$1.23,$3.10,0%,0%,77%
